OTU ID	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	taxonomy
OTU82	158	114	128	0	7	0	211	182	180	0	3	3	97%|Myrothecium_verrucaria|SH199490.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Incertae_sedis_3;g_Myrothecium
OTU83	40	60	39	0	0	0	46	79	65	9	16	44	100%|Dothideomycetes_sp|SH224798.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Dothideomycetes_unidentified;f_Dothideomycetes_unidentified_1;g_Dothideomycetes_unidentified_1
OTU84	10	33	17	0	0	0	85	224	96	0	0	0	100%|Cladorrhinum_bulbillosum|SH230735.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariales;f_Lasiosphaeriaceae;g_Cladorrhinum
OTU85	35	103	46	0	0	0	56	28	55	0	12	0	23%|Corollospora_fusca|SH227352.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Microascales;f_Halosphaeriaceae;g_Corollospora
OTU86	0	11	22	45	62	53	0	1	0	28	51	57	100%|Cryptococcus_cyanovorans|SH198639.06FUk_Fungi;p_Basidiomycota;c_Tremellomycetes;o_Tremellales;f_Incertae_sedis_12;g_Cryptococcus_1
OTU87	59	78	143	5	79	39	122	68	93	0	0	0	77%|Sordariomycetes_sp|SH219630.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Sordariomycetes_unidentified;f_Sordariomycetes_unidentified_1;g_Sordariomycetes_unidentified_1
OTU88	18	26	25	0	0	0	2	8	14	120	50	64	48%|Xylariales_sp|SH225259.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Xylariales;f_Xylariales_unidentified;g_Xylariales_unidentified_1
OTU89	143	187	120	0	0	1	77	55	10	0	0	0	31%|Ramicandelaber_sp_HMH_2010b|SH237553.06FUk_Fungi;p_Zygomycota;c_Incertae_sedis_10;o_Kickxellales;f_Kickxellaceae;g_Ramicandelaber
OTU90	23	89	18	1	17	1	63	99	26	1	0	0	53%|Aspergillus_fumigatus|SH199400.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Trichocomaceae;g_Aspergillus
OTU91	0	0	0	161	91	20	0	0	6	170	157	166	100%|Candida_xylopsoci|SH198445.06FUk_Fungi;p_Ascomycota;c_Saccharomycetes;o_Saccharomycetales;f_Incertae_sedis_11;g_Candida
OTU92	44	62	67	0	0	0	79	123	55	0	0	10	100%|Ascomycota_sp|SH213937.06FUk_Fungi;p_Ascomycota;c_Ascomycota_unidentified;o_Ascomycota_unidentified_1;f_Ascomycota_unidentified_1;g_Ascomycota_unidentified_1_1
OTU93	0	0	0	0	125	19	0	0	0	31	28	119	43%|Teratosphaeria_marasasii|SH238961.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Capnodiales;f_Teratosphaeriaceae;g_Teratosphaeria
OTU94	23	88	109	0	0	0	40	35	16	0	0	0	100%|Fungi_sp|SH230936.06FUk_Fungi;p_Fungi_unidentified;c_Fungi_unidentified_1;o_Fungi_unidentified_1;f_Fungi_unidentified_1_1;g_Fungi_unidentified_1_1
OTU95	12	11	0	50	52	80	27	12	16	182	47	152	100%|Talaromyces_marneffei|SH225847.06FUk_Fungi;p_Ascomycota;c_Eurotiomycetes;o_Eurotiales;f_Trichocomaceae;g_Talaromyces
OTU96	6	7	22	0	0	0	80	89	101	0	13	0	99%|Myrothecium_gramineum|SH199496.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Hypocreales;f_Incertae_sedis_3;g_Myrothecium
OTU97	0	0	0	0	0	0	1	2	15	95	129	96	89%|Oidiodendron_sp|SH217770.06FUk_Fungi;p_Ascomycota;c_Dothideomycetes;o_Incertae_sedis_8;f_Myxotrichaceae;g_Oidiodendron
OTU98	88	135	167	0	0	0	64	64	45	15	10	18	98%|Conlarium_duplumascospora|SH225495.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Incertae_sedis_7;f_Annulatascaceae;g_Conlarium
OTU99	42	94	63	0	0	0	21	29	22	0	0	0	30%|Coniochaeta_sp|SH226462.06FUk_Fungi;p_Ascomycota;c_Sordariomycetes;o_Coniochaetales;f_Coniochaetaceae;g_Coniochaeta
